,Area,Area_code,Area_name,Year,Sex,Age,MYE
39454,Super Data Zones,N21000081,Portadown_C,2024,All Persons,All ages,2185
39469,Super Data Zones,N21000082,Portadown_D,2024,All Persons,All ages,2403
39484,Super Data Zones,N21000083,Portadown_E,2024,All Persons,All ages,1963
39499,Super Data Zones,N21000084,Portadown_F,2024,All Persons,All ages,1496
39514,Super Data Zones,N21000085,Portadown_G,2024,All Persons,All ages,2072
39529,Super Data Zones,N21000086,Portadown_H,2024,All Persons,All ages,1787
39544,Super Data Zones,N21000087,Portadown_J,2024,All Persons,All ages,2912
39559,Super Data Zones,N21000088,Portadown_K,2024,All Persons,All ages,2552
39574,Super Data Zones,N21000089,Portadown_L,2024,All Persons,All ages,1983
39589,Super Data Zones,N21000090,Portadown_N,2024,All Persons,All ages,1474
39604,Super Data Zones,N21000091,Portadown_P,2024,All Persons,All ages,1426
39619,Super Data Zones,N21000092,Portadown_Q,2024,All Persons,All ages,2257
39634,Super Data Zones,N21000093,Portadown_R,2024,All Persons,All ages,2845
39649,Super Data Zones,N21000094,Craigavon_A,2024,All Persons,All ages,3075
39664,Super Data Zones,N21000095,Craigavon_B,2024,All Persons,All ages,2656
39679,Super Data Zones,N21000096,Craigavon_C,2024,All Persons,All ages,2104
39694,Super Data Zones,N21000097,Craigavon_D,2024,All Persons,All ages,1716
39709,Super Data Zones,N21000098,Craigavon_E,2024,All Persons,All ages,2713
39724,Super Data Zones,N21000099,Craigavon_F,2024,All Persons,All ages,3358
39739,Super Data Zones,N21000100,Craigavon_G,2024,All Persons,All ages,2320
39754,Super Data Zones,N21000101,Craigavon_H,2024,All Persons,All ages,1899
39769,Super Data Zones,N21000102,Craigavon_J,2024,All Persons,All ages,2721
39784,Super Data Zones,N21000103,Craigavon_K,2024,All Persons,All ages,1366
39799,Super Data Zones,N21000104,Craigavon_L,2024,All Persons,All ages,1677
39814,Super Data Zones,N21000105,Craigavon_N,2024,All Persons,All ages,2750
39829,Super Data Zones,N21000106,Craigavon_P,2024,All Persons,All ages,2020
39844,Super Data Zones,N21000107,Lurgan_A,2024,All Persons,All ages,2842
39859,Super Data Zones,N21000108,Lurgan_B,2024,All Persons,All ages,2474
39874,Super Data Zones,N21000109,Lurgan_C,2024,All Persons,All ages,2463
39889,Super Data Zones,N21000110,Lurgan_D,2024,All Persons,All ages,3009
39904,Super Data Zones,N21000111,Lurgan_E,2024,All Persons,All ages,2872
39919,Super Data Zones,N21000112,Lurgan_F,2024,All Persons,All ages,2790
39934,Super Data Zones,N21000113,Lurgan_G,2024,All Persons,All ages,1568
39949,Super Data Zones,N21000114,Lurgan_H,2024,All Persons,All ages,2096
39964,Super Data Zones,N21000115,Lurgan_J,2024,All Persons,All ages,2389
39979,Super Data Zones,N21000116,Lurgan_K,2024,All Persons,All ages,1810
39994,Super Data Zones,N21000117,Lurgan_L,2024,All Persons,All ages,1466
40009,Super Data Zones,N21000118,Lurgan_N,2024,All Persons,All ages,2202
40024,Super Data Zones,N21000119,Lurgan_P,2024,All Persons,All ages,2320
40039,Super Data Zones,N21000120,Lurgan_Q,2024,All Persons,All ages,1925
40054,Super Data Zones,N21000121,Lurgan_R,2024,All Persons,All ages,2530
40069,Super Data Zones,N21000122,Lurgan_S,2024,All Persons,All ages,2593
40084,Super Data Zones,N21000123,Lurgan_T,2024,All Persons,All ages,1942
40099,Super Data Zones,N21000124,Lagan_River_A,2024,All Persons,All ages,1948
40114,Super Data Zones,N21000125,Lagan_River_B,2024,All Persons,All ages,1890
40129,Super Data Zones,N21000126,Lagan_River_C,2024,All Persons,All ages,1559
40144,Super Data Zones,N21000127,Lagan_River_D,2024,All Persons,All ages,1823
40159,Super Data Zones,N21000128,Lagan_River_E,2024,All Persons,All ages,2007
40174,Super Data Zones,N21000129,Lagan_River_F,2024,All Persons,All ages,2926
40189,Super Data Zones,N21000130,Lagan_River_G,2024,All Persons,All ages,2692
40204,Super Data Zones,N21000131,Lagan_River_H,2024,All Persons,All ages,1638
40219,Super Data Zones,N21000132,Lagan_River_J,2024,All Persons,All ages,1951
40234,Super Data Zones,N21000133,Lagan_River_K,2024,All Persons,All ages,2444
40249,Super Data Zones,N21000134,Lagan_River_L,2024,All Persons,All ages,1378
40264,Super Data Zones,N21000135,Lagan_River_N,2024,All Persons,All ages,2615
40279,Super Data Zones,N21000136,Banbridge_A,2024,All Persons,All ages,2270
40294,Super Data Zones,N21000137,Banbridge_B,2024,All Persons,All ages,1943
40309,Super Data Zones,N21000138,Banbridge_C,2024,All Persons,All ages,1925
40324,Super Data Zones,N21000139,Banbridge_D,2024,All Persons,All ages,3118
40339,Super Data Zones,N21000140,Banbridge_E,2024,All Persons,All ages,2561
40354,Super Data Zones,N21000141,Banbridge_F,2024,All Persons,All ages,2104
40369,Super Data Zones,N21000142,Banbridge_G,2024,All Persons,All ages,1568
40384,Super Data Zones,N21000143,Banbridge_H,2024,All Persons,All ages,2891
40399,Super Data Zones,N21000144,Banbridge_J,2024,All Persons,All ages,2542
40414,Super Data Zones,N21000145,Banbridge_K,2024,All Persons,All ages,3108
40429,Super Data Zones,N21000146,Banbridge_L,2024,All Persons,All ages,3432
40444,Super Data Zones,N21000147,Banbridge_N,2024,All Persons,All ages,2882
40459,Super Data Zones,N21000148,Banbridge_P,2024,All Persons,All ages,2462
40474,Super Data Zones,N21000149,Banbridge_Q,2024,All Persons,All ages,2619
40489,Super Data Zones,N21000150,Cusher_A,2024,All Persons,All ages,1519
40504,Super Data Zones,N21000151,Cusher_B,2024,All Persons,All ages,2653
40519,Super Data Zones,N21000152,Cusher_C,2024,All Persons,All ages,1743
40534,Super Data Zones,N21000153,Cusher_D,2024,All Persons,All ages,1758
40549,Super Data Zones,N21000154,Cusher_E,2024,All Persons,All ages,3163
40564,Super Data Zones,N21000155,Cusher_F,2024,All Persons,All ages,1726
40579,Super Data Zones,N21000156,Cusher_G,2024,All Persons,All ages,2307
40594,Super Data Zones,N21000157,Cusher_H,2024,All Persons,All ages,2568
40609,Super Data Zones,N21000158,Cusher_J,2024,All Persons,All ages,1901
40624,Super Data Zones,N21000159,Cusher_K,2024,All Persons,All ages,3569
40639,Super Data Zones,N21000160,Cusher_L,2024,All Persons,All ages,3372
40654,Super Data Zones,N21000161,Oldpark_A,2024,All Persons,All ages,2735
40669,Super Data Zones,N21000162,Oldpark_B,2024,All Persons,All ages,1719
40684,Super Data Zones,N21000163,Oldpark_C,2024,All Persons,All ages,1903
40699,Super Data Zones,N21000164,Oldpark_D,2024,All Persons,All ages,2294
40714,Super Data Zones,N21000165,Oldpark_E,2024,All Persons,All ages,2350
40729,Super Data Zones,N21000166,Oldpark_F,2024,All Persons,All ages,1566
40744,Super Data Zones,N21000167,Oldpark_G,2024,All Persons,All ages,2103
40759,Super Data Zones,N21000168,Oldpark_H,2024,All Persons,All ages,1535
40774,Super Data Zones,N21000169,Oldpark_J,2024,All Persons,All ages,1414
40789,Super Data Zones,N21000170,Oldpark_K,2024,All Persons,All ages,1877
40804,Super Data Zones,N21000171,Oldpark_L,2024,All Persons,All ages,2313
40819,Super Data Zones,N21000172,Oldpark_N,2024,All Persons,All ages,2352
40834,Super Data Zones,N21000173,Oldpark_P,2024,All Persons,All ages,1311
40849,Super Data Zones,N21000174,Oldpark_Q,2024,All Persons,All ages,2108
40864,Super Data Zones,N21000175,Oldpark_R,2024,All Persons,All ages,2483
40879,Super Data Zones,N21000176,Oldpark_S,2024,All Persons,All ages,1441
40894,Super Data Zones,N21000177,Oldpark_T,2024,All Persons,All ages,1571
40909,Super Data Zones,N21000178,Oldpark_U,2024,All Persons,All ages,1952
40924,Super Data Zones,N21000179,Castle_A,2024,All Persons,All ages,1689
40939,Super Data Zones,N21000180,Castle_B,2024,All Persons,All ages,1930
40954,Super Data Zones,N21000181,Castle_C,2024,All Persons,All ages,1840
40969,Super Data Zones,N21000182,Castle_D,2024,All Persons,All ages,1750
40984,Super Data Zones,N21000183,Castle_E,2024,All Persons,All ages,1597
40999,Super Data Zones,N21000184,Castle_F,2024,All Persons,All ages,1369
41014,Super Data Zones,N21000185,Castle_G,2024,All Persons,All ages,2389
41029,Super Data Zones,N21000186,Castle_H,2024,All Persons,All ages,2381
41044,Super Data Zones,N21000187,Castle_J,2024,All Persons,All ages,2382
41059,Super Data Zones,N21000188,Castle_K,2024,All Persons,All ages,1618
41074,Super Data Zones,N21000189,Castle_L,2024,All Persons,All ages,2070
41089,Super Data Zones,N21000190,Castle_N,2024,All Persons,All ages,1162
41104,Super Data Zones,N21000191,Castle_P,2024,All Persons,All ages,1305
41119,Super Data Zones,N21000192,Castle_Q,2024,All Persons,All ages,2968
41134,Super Data Zones,N21000193,Castle_R,2024,All Persons,All ages,2367
41149,Super Data Zones,N21000194,Castle_S,2024,All Persons,All ages,1589
41164,Super Data Zones,N21000195,Castle_T,2024,All Persons,All ages,2171
41179,Super Data Zones,N21000196,Castle_U,2024,All Persons,All ages,2441
41194,Super Data Zones,N21000197,Titanic_A,2024,All Persons,All ages,1311
41209,Super Data Zones,N21000198,Titanic_B,2024,All Persons,All ages,1894
41224,Super Data Zones,N21000199,Titanic_C,2024,All Persons,All ages,1926
41239,Super Data Zones,N21000200,Titanic_D,2024,All Persons,All ages,2136
41254,Super Data Zones,N21000201,Titanic_E,2024,All Persons,All ages,1558
41269,Super Data Zones,N21000202,Titanic_F,2024,All Persons,All ages,2040
41284,Super Data Zones,N21000203,Titanic_G,2024,All Persons,All ages,1097
41299,Super Data Zones,N21000204,Titanic_H,2024,All Persons,All ages,2383
41314,Super Data Zones,N21000205,Titanic_J,2024,All Persons,All ages,2070
41329,Super Data Zones,N21000206,Titanic_K,2024,All Persons,All ages,1388
41344,Super Data Zones,N21000207,Titanic_L,2024,All Persons,All ages,1740
41359,Super Data Zones,N21000208,Titanic_N,2024,All Persons,All ages,1625
41374,Super Data Zones,N21000209,Titanic_P,2024,All Persons,All ages,1693
41389,Super Data Zones,N21000210,Titanic_Q,2024,All Persons,All ages,1791
41404,Super Data Zones,N21000211,Titanic_R,2024,All Persons,All ages,1935
41419,Super Data Zones,N21000212,Titanic_S,2024,All Persons,All ages,1569
41434,Super Data Zones,N21000213,Titanic_T,2024,All Persons,All ages,1901
41449,Super Data Zones,N21000214,Titanic_U,2024,All Persons,All ages,1200
41464,Super Data Zones,N21000215,Titanic_W,2024,All Persons,All ages,1538
41479,Super Data Zones,N21000216,Titanic_X,2024,All Persons,All ages,1256
41494,Super Data Zones,N21000217,Titanic_Y,2024,All Persons,All ages,1699
41509,Super Data Zones,N21000218,Titanic_Z,2024,All Persons,All ages,1349
41524,Super Data Zones,N21000219,Ormiston_A,2024,All Persons,All ages,1899
41539,Super Data Zones,N21000220,Ormiston_B,2024,All Persons,All ages,2069
41554,Super Data Zones,N21000221,Ormiston_C,2024,All Persons,All ages,2595
